total_sqft,bath,bhk,price,location
2040.0,3.0,3,200.0,6th Phase JP Nagar
1213.0,2.0,2,63.0,6th Phase JP Nagar
1216.0,2.0,2,60.0,6th Phase JP Nagar
1460.0,2.0,2,80.0,6th Phase JP Nagar
2003.0,3.0,3,200.0,6th Phase JP Nagar
1810.0,3.0,3,131.0,6th Phase JP Nagar
1515.0,2.0,3,135.0,6th Phase JP Nagar
1192.0,2.0,2,75.0,6th Phase JP Nagar
1280.0,2.0,2,88.0,6th Phase JP Nagar
1080.0,2.0,2,72.0,7th Phase JP Nagar
1270.0,2.0,2,93.0,7th Phase JP Nagar
1420.0,2.0,3,100.0,7th Phase JP Nagar
1850.0,3.0,3,150.0,7th Phase JP Nagar
1245.0,2.0,2,94.0,7th Phase JP Nagar
1175.0,2.0,2,82.0,7th Phase JP Nagar
1400.0,2.0,3,95.0,7th Phase JP Nagar
2225.0,3.0,3,160.0,7th Phase JP Nagar
1050.0,2.0,2,71.0,7th Phase JP Nagar
1100.0,2.0,2,46.0,7th Phase JP Nagar
918.0,2.0,2,50.49,7th Phase JP Nagar
1450.0,2.0,3,100.0,7th Phase JP Nagar
1190.0,2.0,2,49.98,7th Phase JP Nagar
1420.0,2.0,3,96.0,7th Phase JP Nagar
1680.0,3.0,3,120.0,7th Phase JP Nagar
980.0,2.0,2,69.0,7th Phase JP Nagar
1180.0,2.0,2,72.0,7th Phase JP Nagar
1400.0,3.0,3,115.0,7th Phase JP Nagar
1270.0,2.0,2,83.0,7th Phase JP Nagar
2503.0,4.0,4,188.0,7th Phase JP Nagar
2200.0,3.0,3,190.0,7th Phase JP Nagar
1575.0,2.0,3,110.0,7th Phase JP Nagar
1850.0,3.0,3,140.0,7th Phase JP Nagar
1575.0,2.0,3,120.0,7th Phase JP Nagar
1850.0,3.0,3,150.0,7th Phase JP Nagar
1680.0,3.0,3,120.0,7th Phase JP Nagar
1175.0,2.0,2,82.5,7th Phase JP Nagar
1215.0,2.0,2,90.0,7th Phase JP Nagar
1050.0,2.0,2,75.0,7th Phase JP Nagar
1300.0,3.0,3,89.13,7th Phase JP Nagar
1130.0,2.0,2,73.0,7th Phase JP Nagar
1450.0,3.0,3,100.0,7th Phase JP Nagar
1050.0,2.0,2,50.0,7th Phase JP Nagar
1275.0,2.0,2,87.0,7th Phase JP Nagar
1650.0,3.0,3,110.0,7th Phase JP Nagar
850.0,2.0,2,42.0,7th Phase JP Nagar
1680.0,3.0,3,117.0,7th Phase JP Nagar
1850.0,3.0,3,150.0,7th Phase JP Nagar
1236.0,2.0,2,61.33,7th Phase JP Nagar
1000.0,2.0,2,53.0,7th Phase JP Nagar
1680.0,3.0,3,125.0,7th Phase JP Nagar
1675.0,2.0,3,135.0,7th Phase JP Nagar
1187.0,2.0,2,59.0,7th Phase JP Nagar
1850.0,3.0,3,155.0,7th Phase JP Nagar
1000.0,2.0,2,61.0,7th Phase JP Nagar
1460.0,2.0,3,100.0,7th Phase JP Nagar
1650.0,3.0,3,110.0,7th Phase JP Nagar
1200.0,2.0,2,62.5,7th Phase JP Nagar
1000.0,2.0,2,70.65,7th Phase JP Nagar
1080.0,2.0,2,75.0,7th Phase JP Nagar
1680.0,3.0,3,125.0,7th Phase JP Nagar
1460.0,2.0,3,97.0,7th Phase JP Nagar
1120.0,2.0,2,65.0,7th Phase JP Nagar
1100.0,3.0,2,60.0,7th Phase JP Nagar
1790.0,3.0,3,120.0,7th Phase JP Nagar
1680.0,3.0,3,117.0,7th Phase JP Nagar
1050.0,2.0,2,77.0,7th Phase JP Nagar
1050.0,2.0,2,75.0,7th Phase JP Nagar
1040.0,2.0,2,75.0,7th Phase JP Nagar
1400.0,2.0,3,95.0,7th Phase JP Nagar
1800.0,3.0,3,130.0,7th Phase JP Nagar
1050.0,2.0,2,68.0,7th Phase JP Nagar
1000.0,2.0,2,60.0,7th Phase JP Nagar
1680.0,3.0,3,125.0,7th Phase JP Nagar
1050.0,2.0,2,77.47,7th Phase JP Nagar
1270.0,2.0,2,80.0,7th Phase JP Nagar
1680.0,3.0,3,122.0,7th Phase JP Nagar
1130.0,2.0,2,85.0,7th Phase JP Nagar
1680.0,3.0,3,130.0,7th Phase JP Nagar
980.0,2.0,2,77.44,7th Phase JP Nagar
1680.0,3.0,3,112.0,7th Phase JP Nagar
2095.0,3.0,3,150.0,7th Phase JP Nagar
1976.0,3.0,3,145.0,7th Phase JP Nagar
1600.0,2.0,3,110.0,7th Phase JP Nagar
1765.0,3.0,3,118.0,7th Phase JP Nagar
1275.0,2.0,3,88.0,7th Phase JP Nagar
1450.0,2.0,3,102.0,7th Phase JP Nagar
1575.0,2.0,3,110.0,7th Phase JP Nagar
750.0,1.0,1,47.0,7th Phase JP Nagar
990.0,2.0,2,50.0,7th Phase JP Nagar
1000.0,1.0,1,60.0,7th Phase JP Nagar
1430.0,2.0,3,102.0,7th Phase JP Nagar
1128.0,2.0,2,60.0,7th Phase JP Nagar
1140.0,2.0,2,57.0,7th Phase JP Nagar
1420.0,3.0,3,90.0,7th Phase JP Nagar
1530.0,2.0,2,108.0,7th Phase JP Nagar
1073.5,2.0,2,54.005,8th Phase JP Nagar
451.0,1.0,1,29.9,8th Phase JP Nagar
1062.0,2.0,2,42.47,8th Phase JP Nagar
1455.0,3.0,3,73.31,8th Phase JP Nagar
871.0,2.0,2,55.0,8th Phase JP Nagar
1098.0,2.0,2,43.91,8th Phase JP Nagar
1800.0,3.0,3,80.0,8th Phase JP Nagar
2700.0,4.0,4,130.0,8th Phase JP Nagar
1080.0,2.0,2,38.0,8th Phase JP Nagar
1059.0,2.0,2,34.5,8th Phase JP Nagar
1080.0,2.0,2,35.0,8th Phase JP Nagar
1062.0,2.0,2,42.47,8th Phase JP Nagar
500.0,1.0,1,31.0,8th Phase JP Nagar
1100.0,2.0,2,35.0,8th Phase JP Nagar
2100.0,4.0,4,92.0,8th Phase JP Nagar
1035.0,2.0,2,39.33,8th Phase JP Nagar
909.0,2.0,2,40.9,8th Phase JP Nagar
1431.5,3.0,3,72.02,8th Phase JP Nagar
1900.0,4.0,3,90.0,8th Phase JP Nagar
500.0,1.0,1,30.0,8th Phase JP Nagar
1125.0,2.0,2,36.94,8th Phase JP Nagar
1100.0,2.0,2,35.0,8th Phase JP Nagar
1089.0,2.0,2,43.55,8th Phase JP Nagar
1504.0,2.0,3,83.0,8th Phase JP Nagar
2600.0,4.0,4,115.0,8th Phase JP Nagar
1089.0,2.0,2,43.55,8th Phase JP Nagar
1513.0,2.0,2,62.0,8th Phase JP Nagar
1298.0,2.0,2,59.0,8th Phase JP Nagar
1006.0,2.0,2,44.0,8th Phase JP Nagar
500.0,1.0,1,33.0,8th Phase JP Nagar
1160.0,2.0,2,95.0,8th Phase JP Nagar
1245.0,2.0,2,59.0,8th Phase JP Nagar
1510.0,2.0,2,80.0,8th Phase JP Nagar
3300.0,3.0,3,165.0,8th Phase JP Nagar
1730.0,5.0,5,75.0,8th Phase JP Nagar
1046.0,2.0,2,48.0,8th Phase JP Nagar
1408.0,3.0,3,80.0,8th Phase JP Nagar
1005.0,2.0,2,50.0,9th Phase JP Nagar
1100.0,2.0,2,65.0,9th Phase JP Nagar
1080.0,2.0,2,37.0,9th Phase JP Nagar
1035.0,2.0,2,45.0,9th Phase JP Nagar
5000.0,4.0,4,290.0,9th Phase JP Nagar
1164.0,2.0,2,56.0,9th Phase JP Nagar
1005.0,2.0,2,42.0,9th Phase JP Nagar
1127.0,2.0,2,50.0,9th Phase JP Nagar
1005.0,2.0,2,43.0,9th Phase JP Nagar
835.0,2.0,2,37.0,9th Phase JP Nagar
1050.0,2.0,2,39.0,9th Phase JP Nagar
660.0,2.0,2,27.0,9th Phase JP Nagar
600.0,1.0,1,20.0,9th Phase JP Nagar
1466.0,2.0,2,71.0,9th Phase JP Nagar
1890.0,2.0,3,93.0,9th Phase JP Nagar
1079.0,2.0,2,60.0,9th Phase JP Nagar
1480.0,2.0,2,80.0,9th Phase JP Nagar
1200.0,2.0,2,80.0,9th Phase JP Nagar
905.0,2.0,2,32.0,9th Phase JP Nagar
1073.0,2.0,2,52.36,9th Phase JP Nagar
1719.3,2.0,3,88.0,9th Phase JP Nagar
1780.0,3.0,3,88.0,9th Phase JP Nagar
1522.0,3.0,3,90.0,9th Phase JP Nagar
890.0,2.0,2,45.0,9th Phase JP Nagar
5000.0,4.0,4,300.0,9th Phase JP Nagar
1050.0,2.0,2,35.0,9th Phase JP Nagar
1331.95,2.0,2,69.0,9th Phase JP Nagar
1100.0,2.0,2,45.0,AECS Layout
1028.0,2.0,2,42.0,AECS Layout
1199.0,2.0,2,65.0,AECS Layout
1080.0,2.0,2,55.0,AECS Layout
1123.0,2.0,2,64.0,AECS Layout
1308.0,2.0,2,60.0,AECS Layout
1005.0,2.0,2,55.0,AECS Layout
985.0,2.0,2,40.39,Abbigere
2200.0,6.0,6,68.0,Abbigere
765.0,2.0,1,30.0,Abbigere
880.0,2.0,2,35.0,Abbigere
795.0,2.0,2,32.54,Abbigere
1005.0,2.0,2,39.59,Abbigere
734.0,1.0,1,19.82,Abbigere
1020.0,2.0,2,41.82,Abbigere
985.0,2.0,2,40.39,Abbigere
2500.0,6.0,6,81.0,Abbigere
795.0,2.0,2,32.54,Abbigere
1130.0,2.0,2,46.33,Abbigere
795.0,1.0,2,32.6,Abbigere
3000.0,8.0,8,150.0,Abbigere
985.0,2.0,2,38.92,Abbigere
1000.0,2.0,2,41.0,Abbigere
995.0,2.0,2,40.8,Abbigere
1020.0,2.0,2,40.8,Abbigere
1388.0,2.0,2,57.0,Akshaya Nagar
1070.0,2.0,2,54.0,Akshaya Nagar
1280.0,2.0,2,58.0,Akshaya Nagar
1662.0,3.0,3,85.1,Akshaya Nagar
1897.0,3.0,3,120.0,Akshaya Nagar
1410.0,2.0,3,75.0,Akshaya Nagar
1360.0,2.0,3,85.0,Akshaya Nagar
1410.0,2.0,3,80.0,Akshaya Nagar
1662.0,3.0,3,85.0,Akshaya Nagar
1662.0,3.0,3,85.5,Akshaya Nagar
1280.0,2.0,2,60.0,Akshaya Nagar
1666.0,3.0,3,95.0,Akshaya Nagar
1575.0,3.0,3,90.0,Akshaya Nagar
1430.0,2.0,3,75.0,Akshaya Nagar
1419.0,2.0,3,73.0,Akshaya Nagar
1280.0,2.0,2,60.0,Akshaya Nagar
1200.0,2.0,2,50.0,Akshaya Nagar
1092.0,2.0,2,60.0,Akshaya Nagar
1690.0,3.0,3,85.0,Akshaya Nagar
1897.0,4.0,3,93.0,Akshaya Nagar
1884.0,3.0,3,98.0,Akshaya Nagar
1314.0,2.0,2,68.8,Akshaya Nagar
1690.0,3.0,3,85.0,Akshaya Nagar
1265.0,2.0,2,67.0,Akshaya Nagar
1126.0,2.0,2,55.0,Akshaya Nagar
1662.0,3.0,3,90.0,Akshaya Nagar
1420.0,2.0,3,75.0,Akshaya Nagar
1412.0,2.0,3,88.0,Akshaya Nagar
1434.0,3.0,3,84.0,Akshaya Nagar
1890.0,4.0,3,100.0,Akshaya Nagar
1419.0,2.0,3,87.0,Akshaya Nagar
1300.0,2.0,2,54.0,Akshaya Nagar
1690.0,3.0,3,85.0,Akshaya Nagar
1113.0,2.0,2,52.0,Akshaya Nagar
1820.0,4.0,3,95.0,Akshaya Nagar
1100.0,2.0,2,48.0,Akshaya Nagar
1896.0,3.0,3,102.0,Akshaya Nagar
1300.0,2.0,2,66.0,Akshaya Nagar
1225.0,2.0,2,68.0,Akshaya Nagar
1179.0,2.0,2,51.0,Akshaya Nagar
1421.0,2.0,3,73.0,Akshaya Nagar
1893.0,4.0,3,95.0,Akshaya Nagar
900.0,2.0,2,45.0,Akshaya Nagar
1105.0,2.0,2,75.0,Ambalipura
1800.0,3.0,3,110.0,Ambalipura
1150.0,2.0,2,80.0,Ambalipura
1250.0,2.0,2,66.25,Ambalipura
1332.0,2.0,2,79.0,Ambalipura
1730.0,3.0,3,120.0,Ambalipura
1230.0,2.0,2,66.25,Ambalipura
1351.0,2.0,2,77.0,Ambalipura
1303.0,2.0,2,80.0,Ambalipura
1607.0,2.0,3,112.0,Ambalipura
770.0,1.0,1,43.82,Ambalipura
1700.0,2.0,2,76.0,Ambalipura
1060.0,2.0,2,58.5,Ambalipura
1650.0,3.0,3,100.0,Ambalipura
1607.0,2.0,3,112.0,Ambalipura
1198.0,2.0,2,80.0,Ambalipura
1935.0,4.0,3,130.0,Ambedkar Nagar
1424.0,2.0,2,90.0,Ambedkar Nagar
2225.0,4.0,3,169.0,Ambedkar Nagar
1862.0,3.0,3,120.0,Ambedkar Nagar
1850.0,4.0,3,139.0,Ambedkar Nagar
1936.0,4.0,3,126.0,Ambedkar Nagar
1862.0,3.0,3,119.0,Ambedkar Nagar
1424.0,2.0,2,90.0,Ambedkar Nagar
2150.0,4.0,3,125.0,Ambedkar Nagar
3530.0,4.0,4,290.0,Ambedkar Nagar
1856.0,3.0,3,120.0,Ambedkar Nagar
1852.0,3.0,3,130.0,Ambedkar Nagar
1850.0,4.0,3,120.0,Ambedkar Nagar
1367.0,2.0,2,86.0,Ambedkar Nagar
3565.0,4.0,4,255.0,Ambedkar Nagar
1409.0,2.0,2,95.0,Ambedkar Nagar
1950.0,4.0,3,120.0,Ambedkar Nagar
1921.0,4.0,3,129.0,Ambedkar Nagar
1920.0,4.0,3,121.0,Ambedkar Nagar
1935.0,4.0,3,125.0,Ambedkar Nagar
1852.0,4.0,3,122.0,Ambedkar Nagar
1950.0,4.0,3,120.0,Ambedkar Nagar
1852.0,3.0,3,125.0,Ambedkar Nagar
1850.0,4.0,3,121.0,Ambedkar Nagar
1425.0,2.0,2,94.0,Ambedkar Nagar
2395.0,4.0,3,150.0,Ambedkar Nagar
900.0,2.0,2,40.0,Amruthahalli
1200.0,2.0,2,55.0,Amruthahalli
1900.0,3.0,3,135.0,Amruthahalli
924.0,2.0,2,45.0,Amruthahalli
900.0,2.0,2,60.0,Amruthahalli
1100.0,2.0,2,45.0,Amruthahalli
1200.0,2.0,2,55.0,Amruthahalli
1450.0,2.0,3,85.0,Amruthahalli
1200.0,2.0,2,55.0,Amruthahalli
1250.0,2.0,2,79.0,Amruthahalli
1190.0,2.0,2,50.0,Amruthahalli
1202.0,2.0,2,65.0,Amruthahalli
1340.0,2.0,2,75.0,Amruthahalli
2650.0,4.0,3,175.0,Amruthahalli
1450.0,2.0,3,90.0,Amruthahalli
1025.0,2.0,2,42.0,Amruthahalli
485.0,1.0,1,19.5,Amruthahalli
1167.0,2.0,2,43.76,Anandapura
1000.0,2.0,2,55.0,Anandapura
1141.0,2.0,2,42.79,Anandapura
1200.0,2.0,2,67.0,Anandapura
1200.0,2.0,2,58.0,Anandapura
1151.0,2.0,2,43.1,Anandapura
1141.0,2.0,2,42.75,Anandapura
900.0,2.0,2,48.0,Anandapura
1749.0,4.0,4,90.0,Anandapura
1151.0,2.0,2,42.9,Anandapura
1250.0,2.0,2,45.0,Anandapura
1151.0,2.0,2,43.16,Anandapura
1200.0,2.0,2,58.0,Anandapura
1200.0,2.0,3,66.0,Anandapura
1415.0,2.0,3,74.0,Anandapura
1200.0,2.0,2,50.0,Anandapura
1141.0,2.0,2,50.0,Anandapura
500.0,1.0,1,14.0,Ananth Nagar
1100.0,2.0,2,31.5,Ananth Nagar
982.0,2.0,2,24.55,Ananth Nagar
500.0,2.0,1,14.0,Ananth Nagar
900.0,2.0,2,22.5,Ananth Nagar
908.0,2.0,2,26.0,Ananth Nagar
870.0,2.0,2,36.0,Ananth Nagar
937.0,2.0,2,35.0,Ananth Nagar
960.0,2.0,2,37.0,Ananth Nagar
500.0,1.0,1,14.0,Ananth Nagar
1000.0,2.0,2,29.7,Ananth Nagar
850.0,2.0,2,25.99,Ananth Nagar
902.0,2.0,2,25.26,Ananth Nagar
1470.0,3.0,3,54.0,Ananth Nagar
810.0,2.0,2,25.5,Ananth Nagar
890.0,2.0,2,27.0,Ananth Nagar
1200.0,2.0,2,36.0,Ananth Nagar
1319.0,3.0,3,42.0,Ananth Nagar
1000.0,2.0,2,25.0,Ananth Nagar
902.0,2.0,2,25.0,Ananth Nagar
930.0,2.0,2,25.99,Ananth Nagar
1074.0,2.0,2,26.85,Ananth Nagar
500.0,1.0,1,14.0,Ananth Nagar
1010.0,2.0,2,38.0,Ananth Nagar
992.0,2.0,2,24.8,Ananth Nagar
656.0,2.0,2,22.0,Anekal
620.0,2.0,2,22.0,Anekal
600.0,1.0,1,16.5,Anekal
925.0,2.0,2,40.0,Anekal
530.0,1.0,1,18.0,Anekal
1800.0,3.0,3,68.0,Anekal
351.0,1.0,1,16.0,Anekal
1035.0,2.0,2,38.3,Anekal
888.0,2.0,2,34.0,Anekal
1200.0,2.0,4,36.0,Anekal
766.0,2.0,2,28.0,Anekal
967.0,2.0,3,45.0,Anekal
620.0,1.0,2,23.5,Anekal
1150.0,3.0,3,45.0,Anekal
400.0,1.0,1,11.5,Anekal
456.0,1.0,1,15.0,Anekal
2400.0,4.0,3,95.0,Anekal
420.0,1.0,1,12.5,Anekal
614.0,1.0,2,28.0,Anekal
1140.0,2.0,2,52.0,Anekal
625.0,1.0,2,25.0,Anekal
1850.0,4.0,4,86.0,Anjanapura
1070.0,2.0,2,39.0,Anjanapura
1500.0,3.0,3,121.0,Anjanapura
1070.0,2.0,2,37.0,Anjanapura
950.0,2.0,2,40.0,Anjanapura
1280.0,2.0,3,45.0,Anjanapura
710.0,2.0,2,25.0,Anjanapura
950.0,2.0,2,32.0,Anjanapura
1800.0,4.0,4,55.0,Anjanapura
1843.0,3.0,3,87.54,Anjanapura
1076.0,2.0,2,30.13,Anjanapura
950.0,2.0,2,30.0,Anjanapura
1750.0,3.0,3,100.0,Ardendale
3198.0,4.0,4,200.0,Ardendale
2422.0,4.0,4,160.0,Ardendale
1750.0,3.0,3,100.0,Ardendale
3200.0,4.0,4,205.0,Ardendale
1728.0,3.0,3,95.0,Ardendale
2062.0,3.0,4,140.0,Ardendale
1732.46,3.0,3,92.0,Ardendale
2062.0,3.0,4,150.0,Ardendale
1224.0,2.0,2,70.0,Ardendale
1777.26,3.0,3,105.0,Ardendale
1650.0,3.0,3,82.0,Ardendale
2062.0,3.0,4,140.0,Ardendale
1650.0,3.0,3,82.0,Ardendale
1224.0,2.0,2,67.0,Ardendale
1723.0,3.0,3,95.0,Ardendale
1777.26,3.0,3,89.0,Ardendale
1777.26,3.0,3,92.0,Ardendale
2060.0,3.0,3,140.0,Arekere
920.0,2.0,2,40.0,Arekere
1740.0,2.0,3,95.0,Arekere
1190.0,2.0,2,55.0,Arekere
600.0,1.0,1,28.0,Arekere
2072.0,3.0,3,108.0,Arekere
1100.0,2.0,2,55.0,Arekere
900.0,2.0,2,50.0,Arekere
1240.0,2.0,2,60.0,Arekere
900.0,2.0,2,44.5,Arekere
450.0,1.0,1,11.0,Attibele
1600.0,4.0,4,52.8,Attibele
656.0,2.0,2,25.0,Attibele
400.0,1.0,1,11.0,Attibele
400.0,1.0,1,12.0,Attibele
400.0,1.0,1,14.0,Attibele
500.0,1.0,1,17.0,Attibele
2168.0,4.0,4,95.0,Attibele
395.0,1.0,1,10.25,Attibele
420.0,1.0,1,17.0,Attibele
418.0,1.0,1,12.0,Attibele
1200.0,2.0,2,42.0,Attibele
400.0,1.0,1,10.0,Attibele
695.0,1.0,2,25.0,Attibele
850.0,1.0,2,25.0,Attibele
2400.0,3.0,3,120.0,Attibele
450.0,1.0,1,12.5,Attibele
782.0,1.0,1,19.55,Attibele
656.0,2.0,2,25.0,Attibele
400.0,1.0,1,11.5,Attibele
460.0,1.0,1,13.0,Attibele
418.0,2.0,1,11.5,Attibele
1000.0,2.0,2,42.0,Attibele
550.0,1.0,1,11.5,Attibele
410.0,1.0,1,10.0,Attibele
1700.0,3.0,3,65.0,Attibele
400.0,1.0,1,10.25,Attibele
656.0,2.0,2,25.0,Attibele
1500.0,3.0,3,90.0,Attibele
520.0,1.0,1,15.0,Attibele
1060.0,2.0,2,55.0,BEML Layout
999.0,2.0,2,45.0,BEML Layout
2400.0,4.0,5,225.0,BEML Layout
1194.0,2.0,2,65.0,BEML Layout
1200.0,2.0,2,67.0,BEML Layout
2400.0,2.0,2,228.0,BEML Layout
1194.0,2.0,2,65.0,BEML Layout
950.0,2.0,2,52.0,BTM 2nd Stage
1850.0,3.0,3,170.0,BTM 2nd Stage
1200.0,2.0,2,80.0,BTM 2nd Stage
1274.0,2.0,2,70.0,BTM 2nd Stage
1070.0,2.0,2,48.0,BTM 2nd Stage
1280.0,2.0,2,80.0,BTM 2nd Stage
1100.0,2.0,2,70.0,BTM 2nd Stage
1000.0,2.0,2,58.0,BTM 2nd Stage
2990.0,5.0,5,416.0,BTM 2nd Stage
1265.0,2.0,2,55.0,BTM 2nd Stage
2200.0,3.0,3,220.0,BTM 2nd Stage
2780.0,4.0,3,325.0,BTM 2nd Stage
2400.0,2.0,3,360.0,BTM 2nd Stage
965.0,2.0,2,56.0,BTM 2nd Stage
1147.0,2.0,2,75.0,BTM 2nd Stage
1750.0,3.0,3,172.0,BTM 2nd Stage
1400.0,2.0,2,90.0,BTM 2nd Stage
1200.0,2.0,2,70.0,BTM 2nd Stage
1100.0,2.0,2,47.0,BTM 2nd Stage
930.0,2.0,2,46.0,BTM 2nd Stage
2500.0,3.0,3,345.0,BTM 2nd Stage
1150.0,2.0,2,63.0,BTM Layout
3300.0,6.0,6,165.0,BTM Layout
1450.0,2.0,3,81.0,BTM Layout
1776.0,2.0,3,75.0,BTM Layout
1458.0,3.0,3,79.0,BTM Layout
935.0,2.0,2,51.5,BTM Layout
1020.0,2.0,2,46.5,BTM Layout
1600.0,3.0,3,112.0,BTM Layout
1300.0,2.0,3,75.0,BTM Layout
1540.0,2.0,3,78.0,BTM Layout
450.0,1.0,1,20.0,BTM Layout
1196.0,2.0,2,56.81,BTM Layout
1470.0,2.0,3,99.0,BTM Layout
1611.0,2.0,3,66.0,Babusapalaya
1675.0,3.0,3,75.0,Babusapalaya
1141.0,2.0,2,46.0,Babusapalaya
1500.0,2.0,2,57.0,Babusapalaya
1050.0,2.0,2,45.0,Babusapalaya
1141.0,2.0,2,45.9,Babusapalaya
1230.0,3.0,3,53.0,Babusapalaya
1105.0,2.0,2,40.0,Babusapalaya
1410.0,2.0,3,65.0,Babusapalaya
1450.0,2.0,2,55.99,Babusapalaya
1100.0,2.0,2,38.0,Babusapalaya
1061.0,2.0,2,33.84,Babusapalaya
1061.0,2.0,2,38.95,Babusapalaya
1061.0,2.0,2,34.0,Babusapalaya
1245.0,2.0,2,58.0,Babusapalaya
1494.0,2.0,3,94.55,Badavala Nagar
1274.0,2.0,2,81.0,Badavala Nagar
1842.0,3.0,3,115.0,Badavala Nagar
1494.0,2.0,3,94.55,Badavala Nagar
1274.0,2.0,2,81.0,Badavala Nagar
1494.0,2.0,3,94.55,Badavala Nagar
1842.0,3.0,3,115.0,Badavala Nagar
1842.0,3.0,3,115.0,Badavala Nagar
1842.0,3.0,3,115.0,Badavala Nagar
1210.0,2.0,2,80.9,Balagere
1210.0,2.0,2,72.0,Balagere
1205.0,2.0,2,78.5,Balagere
790.5,1.0,1,41.9,Balagere
1020.07,2.0,2,68.38,Balagere
1205.47,2.0,2,81.0,Balagere
1007.0,2.0,2,65.0,Balagere
1210.0,2.0,2,74.0,Balagere
1210.0,2.0,2,83.0,Balagere
675.0,1.0,1,45.0,Balagere
656.0,1.0,1,43.0,Balagere
1012.0,2.0,2,64.0,Balagere
1007.0,2.0,2,62.0,Balagere
1007.0,2.0,2,67.0,Balagere
1007.0,2.0,2,66.0,Balagere
645.0,1.0,1,34.18,Balagere
790.5,1.0,1,42.295,Balagere
1012.0,2.0,2,65.0,Balagere
656.0,1.0,1,38.77,Balagere
645.0,1.0,1,39.0,Balagere
645.0,1.0,1,41.0,Balagere
1210.0,2.0,2,82.0,Balagere
656.0,1.0,1,34.77,Balagere
1205.0,2.0,2,73.87,Balagere
